Для информации;ID;Название;;Теги (Безопасность);Ссылка;Предоплата;Цена Взр;Цена Дет;Описание (Витрина);Честный обзор;Важная информация;Ключевые слова;Дни выезда;Гид;Питание;Что взять с собой
Море (Острова);34;5 Жемчужин Андамана, 2 дня (Комфорт+);;#нельзя_беременным #дети_от_1_года #ночевка #романтика #полное_погружение #вечеринка #огненное_шоу;https://goldenkeytours.com/excursions/sea-excursions/5-pearls-of-andaman;50%;6500;6200;"Самый красивый и романтичный двухдневный тур. Меньше ""гонки"", больше красоты и релакса.";Это тур про эстетику и удовольствие. Огненное шоу вечером и качественный отель сделают поездку незабываемой.;Королевский пирс Royal Phuket Marina. Маленькие группы до 36 человек. Бесплатные одноразовые загубники. Полноценный завтрак на пирсе. Улучшенная категория номера в отеле. Бесплатный Wi-Fi на лодке. Бесплатные полотенца. Трансфер включен. Беременным запрещено. Детям до 1 года запрещено. Ночевка в отеле.;вечеринка на пляже, 5 жемчужин, два дня, с ночевкой, пхи пхи, беременным нельзя, нельзя детям до 1 года, долгая дорога, море;Пн, Ср, Пт;Русский;Все включено;Паспорт (копия), Сменная одежда, Пляжные вещи
Море (Острова);35;5 Жемчужин Андамана, Стандарт, 2 дня;ХИТ;#нельзя_беременным #дети_от_1_года #ночевка #романтика #полное_погружение #вечеринка #огненное_шоу;https://goldenkeytours.com/excursions/sea-excursions/5-pearls-of-andaman;50%;6000;5700;Доступная романтика. Тот же великолепный маршрут по жемчужным островам.;Стандартный отель и лодка, но красота закатов и пляжей от этого не меняется. Отличный выбор по соотношению цена/качество.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Ночевка в отеле.;5 жемчужин, два дня, с ночевкой, пхи пхи, беременным нельзя, нельзя детям до 1 года, долгая дорога, море;Пн, Ср, Пт, Вс;Русский;Завтрак, Обед, Ужин;Паспорт (копия), Сменная одежда, Пляжные вещи
Море (Острова);36;Затерянный Мир (Lost World);;#нельзя_беременным #дети_от_1_года #эксклюзив #пещеры #нет_людей #природа #каяки;https://goldenkeytours.com/excursions/sea-excursions/lost-world;50%;3000;2500;Эксклюзив! Тайные лагуны и пещеры, куда мы заходим с фонариками.;Тур для тех, кто не любит толпы. Мы заходим в узкие проходы, куда не могут попасть большие корабли туристов. Чувствуешь себя первооткрывателем.;Скрытые лагуны Пханг Нга. Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено.;затерянный мир, пханг нга, спидбот, беременным нельзя, нельзя детям до 1 года;Ср, Сб;Русский;Легкий завтрак, Обед, напитки;Пляжные вещи
Море (Острова);37;Пхи-Пхи + Бамбу (Рассвет/Спидбот, 2 дня);;#нельзя_беременным #дети_от_1_года #ранний_выезд #бамбу #без_толп #снорклинг #бирюзовая_вода;https://goldenkeytours.com/phi-phi-and-bamboo-sunrise;50%;4500;4200;Рассветная программа на 2 дня! Ранний выезд — залог пустых пляжей и лучших фото.;Максимум моря и солнца. Вы увидите острова и в утренней тишине, и в лучах заката.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Ранний выезд.;пхи пхи, бамбу, рассвет, спидбот, беременным нельзя, нельзя детям до 1 года, скорость, волны;Ежедневно;Русский;Завтрак, Обед;Пляжные вещи
Море (Острова);38;Трансфер на Пхи-Пхи;;#нельзя_беременным #дети_от_1_года #трансфер #билет #спидбот #быстро;https://goldenkeytours.com/excursions/phi-phi-transfer;100%;1600;1600;Просто билет на спидбот в одну сторону. Быстро и с ветерком.;(Нет обзора);Трансфер с пляжей Ката, Карон и Патонг включен, с остальных пляжей по запросу. Беременным запрещено. Детям до 1 года запрещено. Требуется 100% предоплата.;трансфер, спидбот, speed boat, беременным нельзя, нельзя детям до 1 года;Ежедневно;Нет;Нет;Личные вещи
Рыбалка;39;Морская рыбалка (Big Game);;#нельзя_беременным #дети_от_1_года #мужская #трофей #улов #азарт #спидбот;https://goldenkeytours.com/excursions/sea-excursions/fishing-for-big-fish;50%;2700 / 2400 (пассажир);⛔️;Охота на морских гигантов! Шанс поймать марлина или тунца в открытом океане.;Это настоящий мужской клуб. Троллинг, азарт. Учтите: лодка может стоять в дрейфе, поэтому может укачивать.;Возможность поймать самую большую рыбу в вашей жизни. Троллинг в море. Стоимость указана за Рыбака/Сопровождающего, подробнее по ссылке на экскурсию. Беременным запрещено. Детям до 1 года запрещено. Может укачивать. Трансфер включен (возможна доплата в зависимости от района).;рыбалка, биг гейм, беременным нельзя, нельзя детям до 1 года, качка;Ежедневно;Англ.;Обед из улова, шведский стол;Таблетки от укачивания, головной убор
Рыбалка;40;Рыбалка на рассвете (Комфорт+);;#нельзя_беременным #дети_от_1_года #утро #клево #рыба #не_жарко #лодка;https://goldenkeytours.com/sea-fishing-at-sunrise;50%;2900 / 2600;⛔️;Аутентичная рыбалка на деревянной лодке без палящего солнца. Самый активный клев!;Очень атмосферно и комфортно по погоде. Вы возвращаетесь с уловом, когда жара только начинается.;Трофейный улов, подводная охота, крабовые ловушки и отдых на райском острове. Wi-Fi на борту. Одноразовые загубники для масок. Бесплатное полотенце. Стоимость указана за Рыбака/Сопровождающего, подробнее по ссылке на экскурсию. Трансфер включен (возможна доплата в зависимости от района).Беременным запрещено. Детям до 1 года запрещено.;рыбалка, рассвет, лонгтейл, беременным нельзя, нельзя детям до 1 года;Вт, Чт, Сб;Русский;Обед, гриль, сашими, том-ям из свежего улова;Головной убор, камера, Таблетки от укачивания
Рыбалка;41;Рыбалка на озере;;#можно_беременным #дети_от_1_года #озеро #гиганты #спорт #сом #трофей #спокойно #рыбалка;https://goldenkeytours.com/excursions/sea-excursions/fishing-on-the-lake;50%;2000;⛔️;Битва с речными монстрами! Здесь можно вытащить сома весом с человека.;Спортивная рыбалка на частном озере. Гарантированный улов и никаких волн — укачивать не будет.;Индивидуальные места для рыбалки. Снасти включены в стоимость. Хищная рыба. Частное озеро. Гарантированный улов. Сопровождающий бесплатно. Стоимость зависит от количества часов рыбалки, подробнее по ссылке на экскурсию. Трансфер не включен. Беременным можно.;озерная, монстры, рыбалка, беременным можно, нельзя детям до 1 года, безопасно;Ежедневно;Англ.;Нет (можно приобрести на месте);Удобная одежда, своя еда/напитки
Яхты, катера (тусовка, аренда);42;HYPE Yacht, Тусовочная яхта;;#нельзя_беременным #от_18_лет #тусовка #диджей #молодежь #вечеринка #vip #алкоголь;https://goldenkeytours.com/excursions/sea-excursions/hype-yacht;100%;8500;⛔️;Вечеринка в океане! Модная яхта, DJ, авторские коктейли и танцы до заката.;Это настоящий плавучий клуб. Громко, весело, много молодежи. Еда уровня гурмэ. Если ищете тишины — вам не сюда.;Люкс яхта с Dj. До 18 человек. Трансфер не включен. Беременным запрещено. **От 18 лет**. Своя еда и напитки запрещены.;тусовка, hype, хайп, яхта, вечеринка, беременным нельзя, от 18 лет, шум, музыка, алкоголь;Ежедневно;Англ.;Изысканный обед;Купальник, Стильный лук, деньги (алкоголь платно)
Яхты, катера (тусовка, аренда);43;HYPE Catamaran, Beach Club;;#нельзя_беременным #от_18_лет #тусовка #лаунж #закат #стильно #для_пар #vip;https://goldenkeytours.com/excursions/sea-excursions/hype-catamaran;100%;3500;⛔️;Стильный пляжный клуб на воде. Мягкие лежаки, чилаут-музыка и атмосфера роскоши.;"Более расслабленная версия Hype. Здесь больше про ""красиво лежать с коктейлем"", чем про дикие танцы.";Супер катамаран. Включено - доска для гребли, морской скутер, снаряжение для снорклинга, полотенце. Цена зависит от размещения, подробнее по ссылке на экскурсию. Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. От 18 лет. Тусовка.;тусовка, hype, катамаран, хайп, беременным нельзя, от 18 лет, море, волны;Ежедневно;Англ.;Безалкогольные напитки, обед, свежие фрукты;Деньги (бар платный), купальник
Яхты, катера (тусовка, аренда);44;YONA Beach Club;;#нельзя_беременным #от_18_лет #vip #тусовка #бассейн #инстаграм #дорого #лакшери;https://goldenkeytours.com/excursions/sea-excursions/yona-beach-club;100%;4000;⛔️;Мировая сенсация! Первый плавучий остров-клуб с полноценным бассейном и пальмами посреди моря.;"Уникальное место. Да, дорого, но фото отсюда ""взорвут"" ваш Инстаграм. Это уровень мировых селебрити.";Бассейн. Бесплатное полотенце. Часть стоимости экскурсии идет на депозит на еду и напитки. Цена зависит от количества гостей и размещения, подробнее по ссылке на экскурсию. Беременным запрещено (тендерная лодка). От 18 лет. Трансфер на лодке.;yona, йона, пляжный клуб, беременным нельзя (тендерная лодка), от 18 лет, море;Ежедневно;Нет;Депозит на напитки и еду;Входной билет (депозит), купальник
Яхты, катера (тусовка, аренда);45;Lobster Yacht;;#нельзя_беременным #дети_от_1_года #vip #лобстер #еда #лакшери #музыка;https://goldenkeytours.com/excursions/sea-excursions/lobster-catamaran;100%;3900;⛔️;Романтика на закате. Изысканный ужин со свежим лобстером под живую музыку саксофона.;Идеально для свиданий и гурманов. Спокойно, вкусно и очень красиво.;Цена зависит от количества гостей, подробнее по ссылке на экскурсию. Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. От 18 лет.;лобстер, яхта, lobster, беременным нельзя, нельзя детям до 1 года, море;Вт, чт, сб;Англ.;Обед, напитки, фрукты;Дресс-код: Smart Casual
Яхты, катера (тусовка, аренда);46;Катамаран Calypso (Private);;#нельзя_беременным #дети_от_1_года #приват #семья #своя_компания #рыбалка #аренда лодки;https://goldenkeytours.com/calypso1;100%;27000;⛔️;Универсальный моторный катамаран для своей компании. Просторная палуба, зона для рыбалки и отличная устойчивость на воде.;"Лучший вариант по соотношению цена/качество для компании до 10 человек. Это не лакшери-яхта, а ""рабочая лошадка"" для комфортного отдыха: и рыбу половить, и позагорать, и не разориться.";Стоимость за 10 гостей (полный день), подробнее по ссылке на экскурсию. Беременным запрещено. Детям до 1 года запрещено. Цена за лодку. Рыбалка включена. Трансфер не включен.;калипсо, приват, аренда, беременным нельзя, нельзя детям до 1 года, Calypso;Ежедневно;Капитан;Фрукты, Вода;Купальники, полотенца, своя еда/напитки
Яхты, катера (тусовка, аренда);47;Катамаран Whiskey (Private);;#нельзя_беременным #дети_от_1_года #приват #парус #компания #релакс #закат #аренда лодки;https://goldenkeytours.com/catamaran-whiskey;100%;37000;⛔️;Парусная романтика. Идеальная лодка для того, чтобы встретить закат с бокалом игристого под шум ветра в парусах.;Если вы хотите именно *парусный* опыт, а не просто моторную лодку. Очень фотогеничный катамаран, много места на сетке (над водой), чтобы лежать и смотреть на море.;Стоимость за 20 гостей (полный день). Стоимость зависит от количества гостей, маршрута и продолжительности, подробнее по ссылке на экскурсию. Беременным запрещено. Детям до 1 года запрещено. Парусный катамаран.;виски, whiskey, катамаран, беременным нельзя, нельзя детям до 1 года, аренда;Ежедневно;Капитан;Фрукты, Вода;Купальники, полотенца, своя еда/напитки
Яхты, катера (тусовка, аренда);48;Спидбот Kram (Private);;#нельзя_беременным #дети_от_1_года #приват #скорость #спидбот #своя_компания #аренда лодки;https://goldenkeytours.com/boat-kram;100%;14000;⛔️;Уникальный гибрид: выглядит как винтажная деревянная лодка, но летает как скоростной катер. Очень стильно и быстро.;"Самая стильная из ""быстрых"" лодок. Если обычный пластиковый спидбот кажется вам скучным, берите Kram. Он отлично смотрится в кадре и экономит время в пути.";Стоимость за 10 гостей (полный день). Беременным запрещено. Детям до 1 года запрещено. Быстрый катер для компании.;крам, kram, спидбот, беременным нельзя, нельзя детям до 1 года, аренда;Ежедневно;Капитан;Обед, Фрукты, вода;Купальники, полотенца
Яхты, катера (тусовка, аренда);49;Яхта Jaws (Private);;#нельзя_беременным #дети_от_1_года #приват #стильно #фото #инстаграм #комфорт #аренда лодки;https://goldenkeytours.com/jaws;100%;94900;⛔️;Агрессивная, мощная и скоростная яхта с шикарным красным кожаным салоном. Топ выбор для фотосессий и VIP-отдыха.;"Это ""Феррари"" на воде. Красный салон выглядит очень дорого и эффектно на фото. Лодка быстрая, так что вы успеете посмотреть дальние острова с максимальным комфортом.";Идеальная яхта для семейных круизов. Стоимость за 8 гостей (полный день). Стоимость зависит от количества гостей и  маршрута, подробнее по ссылке на экскурсию. Трансфер не включен. Беременным запрещено. Детям до 1 года запрещено. Стильная лодка с красным салоном.;джевс, jaws, спидбот, беременным нельзя, нельзя детям до 1 года, аренда;По запросу;Капитан;гурмэ-ланч, фрукты, вода;Красивая одежда, купальники
Яхты, катера (тусовка, аренда);50;Яхта Stella (Private);;#нельзя_беременным #дети_от_1_года #vip #дерево #классика #романтика #закат #дорого #аренда лодки;https://goldenkeytours.com/stella;100%;18000;⛔️;Деревянная классика. Уютная яхта, напоминающая о золотой эре мореплавания, но со всеми современными удобствами.;"Очень ""ламповая"" и уютная лодка. Здесь нет пластика, только дерево и морской бриз. Идеально для спокойного семейного круиза или романтического ужина.";Стоимость за 15 гостей (полный день). Стоимость зависит от маршрута и продолжительности, подробнее по ссылке на экскурсию. Трансфер не включен. Беременным запрещено. Детям до 1 года запрещено. Деревянная яхта в ретро стиле.;стелла, stella, яхта, деревянная, беременным нельзя, нельзя детям до 1 года, круиз, аренда;По запросу;Капитан;Закуски, фрукты, вода;Красивая одежда, купальники, деньги на личные расходы
Яхты, катера (тусовка, аренда);51;Лодка Ella/Bohemian (Private);;#нельзя_беременным #дети_от_1_года #бохо #инстаграм #девочки #фотосессия #стильно #аренда лодки;https://goldenkeytours.com/ella-bohemian1;100%;35500;⛔️;Мечта блогера! Лодка в стиле Бохо-шик: ковры, подушки, макраме и цветы. Самая эстетичная лодка на Пхукете.;Эту лодку бронируют ради фотографий. Она невероятно красивая. Если ваша цель — контент и эстетика, лучше варианта просто нет.;Стоимость за 10 гостей (полный день). Стоимость зависит от количества гостей,  маршрута и продолжительности, подробнее по ссылке на экскурсию. Трансфер не включен. Беременным запрещено. Детям до 1 года запрещено.;элла, ella, бохо, деревянная лодка, беременным нельзя, нельзя детям до 1 года, аренда;Ежедневно;Капитан;Пикник-сет;Красивая одежда (идеально для фото), купальники, деньги на личные расходы
Яхты, катера (тусовка, аренда);52;Индивидуальный катер;;#нельзя_беременным #дети_от_1_года #приват #своя_компания #рыбалка #острова #аренда лодки;https://goldenkeytours.com/rental/individual-boat;100%;от 28000;⛔️;Свобода выбора! Мы подберем лодку под ваш бюджет и составим маршрут именно так, как хотите вы.;Самый гибкий вариант. Не нужно подстраиваться под группу. Хотите — купаемся час, хотите — плывем дальше. Капитан работает только для вас.;Стоимость за 10 гостей (полный день). Стоимость зависит от маршрута, подробнее по ссылке на экскурсию. Трансфер не включен. Беременным запрещено. Детям до 1 года запрещено.;лодка, аренда, катер, беременным нельзя, нельзя детям до 1 года;По запросу;Капитан;Вода, фрукты, б/а напитки;Купальники, полотенца, деньги на личные расходы
Яхты, катера (тусовка, аренда);53;Катамаран Tahaa;;#нельзя_беременным #дети_от_1_года #приват #парус #катамаран #семья #комфорт #аренда лодки;https://goldenkeytours.com/rental/catamaran-tahaa;100%;20500;⛔️;Французский шик. Роскошный парусный катамаран Tahaa с огромной сеткой для загара над водой и комфортом 5 звезд.;Это премиум-сегмент. Очень много места, устойчивый, красивый. Идеально для большой семьи или компании друзей, которые ценят комфорт.;Стоимость за 15 гостей (полный день). Стоимость зависит от маршрута и продолжительности, подробнее по ссылке на экскурсию. Трансфер не включен. Беременным запрещено. Детям до 1 года запрещено. Люкс катамаран.;тахаа, tahaa, беременным нельзя, нельзя детям до 1 года, море, аренда;По запросу;Капитан;Вода, фрукты, б/а напитки;Купальники, полотенца, деньги на личные расходы
Яхты, катера (тусовка, аренда);54;Яхта Odyssey;;#нельзя_беременным #дети_от_1_года #приват #скорость #комфорт #яхта #одиссей #vip #аренда лодки;https://goldenkeytours.com/odessey-motor-yaht;100%;18500;⛔️;Белоснежная моторная яхта с флайбриджем (верхней палубой). Почувствуйте себя владельцем роскошного судна.;Наличие верхней палубы (флайбриджа) меняет всё — обзор оттуда шикарный. Яхта выглядит дорого и современно, отличный выбор за свои деньги.;Стоимость за 15 гостей (полный день). Стоимость зависит от маршрута и продолжительности, подробнее по ссылке на экскурсию. Трансфер не включен. Беременным запрещено. Детям до 1 года запрещено. Яхта с флайбриджем.;одиссей, odyssey, беременным нельзя, нельзя детям до 1 года, комфорт, аренда;По запросу;Капитан;Фрукты, вода, б/а напитки;Купальники, полотенца, стильная одежда, деньги на личные расходы
Яхты, катера (тусовка, аренда);55;Парусный Катамаран (Private);;#нельзя_беременным #дети_от_1_года #приват #парус #романтика #тишина #аренда лодки;https://goldenkeytours.com/sailingcatamaran;100%;17000;⛔️;Тишина и паруса. Только шум ветра и плеск волн, никаких громких моторов. Полное единение с морем.;Если вы хотите тишины и релакса, выбирайте парус. Это медленнее моторной яхты, но намного романтичнее и спокойнее.;Стоимость за 20 гостей (полный день). Стоимость зависит от количества гостей и маршрута, подробнее по ссылке на экскурсию. Трансфер не включен. Беременным запрещено. Детям до 1 года запрещено.;парусный, катамаран, беременным нельзя, нельзя детям до 1 года, аренда;По запросу;Капитан;Фрукты, вода, б/а напитки;Купальники, полотенца, деньги на личные расходы
Суша (обзорные);56;Путь к Аватару (Самет Нангше) (ХИТ);ХИТ;#можно_всем #виды #горы #инстаграм #культура #храмы #цыгане #суша #смотровая #Samet Nangshe #хит;https://goldenkeytours.com/excursions/land-excursions/path-to-avatar;50%;2400;2200;"Поездка к самому космическому виду в Таиланде! Смотровая Самет Нангше — это панорама залива с сотнями островов, напоминающая планету Пандора из фильма ""Аватар"". Фотографии отсюда не требуют фильтров.";"Это экскурсия ""без напряга"" и качки. Вас возят на комфортном авто по красивейшим местам. Никакой морской болезни и мокрых купальников — только топовые виды и культура.";Смотровая площадка Samet Nangshe. Катание на слонах. Купание со слонами. Водопад. Красивые пейзажи. Трансфер включен (возможна доплата в зависимости от района). Подходит беременным и детям.;аватар, самет нангше, смотровая, беременным можно, с младенцем можно, безопасно, не укачивает, смотровая, Samet Nangshe, хит, популярное, лучшее, топ.;Ежедневно;Русский;Обед у морских цыган, морепродукты;Одежда для храма (плечи/колени закрыты), удобная обувь
Суша (обзорные);57;Путь к Аватару + Стеклянный мост;;#можно_беременным #мост #виды #стеклянный_мост #эксклюзив #можно_детям #можно_всем;https://goldenkeytours.com/excursions/land-excursions/path-to-avatar;50%;3000;2800;"Новинка сезона! К фантастическим видам мы добавили щепотку адреналина — прогулку по прозрачному мосту ""Beyond Skywalk"", парящему над пропастью.";"Если хотите всё и сразу: и на слонах покататься, и на ""Тайский Байкал"" посмотреть, и нервы пощекотать на стеклянном полу. Самая насыщенная программа по суше.";Смотровая Samet Nangshe. Стеклянный мост. Катание на слонах. Купание со слонами. Водопад. Красивые пейзажи. Из стоимости экскурсии выделяется депозит (200 THB на взрослого и 100 THB на ребенка) на напитки и питание в кафе. Трансфер включен (возможна доплата в зависимости от района). Подходит беременным и детям.;аватар, самет нангше, смотровая, беременным можно, с младенцем можно, безопасно, не укачивает, Samet Nangshe, стеклянный мост;Ежедневно;Русский;Обед у морских цыган, морепродукты;Одежда для храма (плечи/колени закрыты), удобная обувь
Суша (обзорные);58;Аватар + Джеймс Бонд;;#можно_всем #каноэ #пещеры #кино #природа #спокойно;https://goldenkeytours.com/avatarandjamesbond;50%;2200;2000;Путешествие в кино! Самая спокойная и кинематографичная экскурсия. Каноэ, мистические пещеры и та самая скала 007.;Идеально для тех, кто не хочет много плавать. Вода изумрудная (не прозрачная), виды космические. Можно расслабиться в каноэ, пока гребец везет вас по пещерам.;Инстаграм тур. Ранний выезд. Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Хит продаж.;аватар, бонд, джеймс бонд, можно всем, залив;Ежедневно;Русский;Легкий перекус, напитки;Мелочь на чай гребцам, удобная одежда, деньги на личные расходы
Суша (обзорные);59;Стеклянный мост + Аватар + Джеймс Бонд;;#стеклянный_мост #бонд #море_и_суша #можно_всем;https://goldenkeytours.com/glassbridgeandavatarandjamesbond;50%;2800;2600;Уникальный микс суши и моря! Стеклянный мост над бездной и путешествие на лодке к легендарному острову Джеймса Бонда.;Идеальный вариант, если у вас мало дней отпуска. Вы увидите и горы, и море за один день. Но учтите — программа очень плотная и активная.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Насыщенная программа. Инстаграм тур.;стеклянный мост, аватар, бонд, можно всем, суша, скайвок, инстаграм;Ежедневно;Русский;Обед;Одежда для храма (плечи/колени закрыты), удобная обувь, купальник
Суша (обзорные);60;Аватар + SPA;;#спа #релакс #источники #женский_отдых #можно_беременным #можно_младенцам #можно_всем;https://goldenkeytours.com/excursions/land-excursions/avatar-spa;50%;3000;2800;День полного релакса. После потрясающих видов на бухту Пханг Нга вы погрузитесь в горячие минеральные источники.;Лучший выбор для девушек и пар. Утром — эстетика природы, днем — польза для тела в горячих ваннах. Вы вернетесь обновленными.;Горячие источники. Программа со слонами. SPA. Трансфер включен (возможна доплата в зависимости от района). Открытые джипы. Беременным запрещено (трясет). Детям до 1 года запрещено.;аватар, спа, источники, беременным можно (осторожно горячее), релакс, безопасно, слоны, spa, можно всем;Ежедневно;Русский;Обед;Купальник, полотенце
Суша (обзорные);61;Аватар Экспресс (На Джипах);;#можно_всем #джипы #драйв #молодежь;https://goldenkeytours.com/avatar-express-on-jeeps;50%;2300;2100;Драйв и ветер в волосах! Мы мчимся к лучшим смотровым площадкам на ярких открытых джипах.;Это весело и молодежно. В открытой машине совсем другие ощущения от дороги, чем в автобусе. Музыка, ветер и свобода.;Музей. Водопад. Смотровая площадка Самет Нангше. Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено (трясет). Детям до 1 года запрещено. Открытые джипы.;аватар, джипы, экспресс, можно всем, открытая машина, ветер, инстаграм;Ежедневно;Русский;Обед;Головной убор, очки, Крем SPF 50+
Суша (обзорные);62;Cветящийся планктон + самет нангше + спа и виды Джеймса Бонда;ХИТ;#можно_беременным #можно_младенцам #можно_всем #суша #смотровая #Samet Nangshe #хит #горячий_источник #светящийся_планктон #популярно;https://goldenkeytours.com/excursions/land-excursions/glowingplankton;50%;2900;2700;Экскурсия, где природа и магия соединяются: горячие источники у моря, смотровая над мангровыми лесами, лодочная прогулка в стиле «Аватар» и финал — каякинг среди светящегося планктона.;Главное преимущество — тур проходит по суше и в спокойной бухте без волн, идеально для всей семьи в любой сезон.;Горяие источники. Смотровая площадка Самет Нангше. Прогулка на тайской лодке. Встреча заката и светящийся планктон. Трансфер включен (возможна доплата в зависимости от района). Беременным и детям можно.;самет нангше, беременным можно, с младенцем можно, безопасно, не укачивает, смотровая, Samet Nangshe, хит, популярное, горячий источник, светящийся планктон.;Ежедневно;Русский;Обед, фрукты;Купальные принадлежности, удобную обувь, деньги на личные расходы
Суша (обзорные);63;Cветящийся планктон + самет нангше + спа и виды Джеймса Бонда (+стеклянный мост);;#можно_беременным #можно_младенцам #можно_всем #суша #смотровая #Samet Nangshe #горячий_источник #светящийся_планктон #стеклянный_мост;https://goldenkeytours.com/excursions/land-excursions/glowingplankton;50%;3400;3200;Экскурсия, где природа и магия соединяются: горячие источники у моря, смотровая над мангровыми лесами, знаменитый стеклянный мост, лодочная прогулка в стиле «Аватар» и финал — каякинг среди светящегося планктона.;Главное преимущество — тур проходит по суше и в спокойной бухте без волн, идеально для всей семьи в любой сезон.;Горяие источники. Смотровая площадка Самет Нангше. Прогулка на тайской лодке. Встреча заката и светящийся планктон. Стеклянный мост. Трансфер включен (возможна доплата в зависимости от района). Беременным и детям можно.;самет нангше, беременным можно, с младенцем можно, безопасно, не укачивает, смотровая, стеклянный мост, Samet Nangshe, хит, популярное, горячий источник, светящийся планктон.;Ежедневно;Русский;Обед, фрукты;Купальные принадлежности, удобную обувь, деньги на личные расходы
Суша (обзорные);64;Краби PRO;;#нельзя_беременным #краби #индивидуально #комфорт #дети_от_1_года;https://goldenkeytours.com/krabi-pro;50%;2300;2300;Приватное путешествие в провинцию Краби на комфортабельном авто. Вы сами хозяева своего времени и маршрута.;Никакой толпы и ожидания автобуса. Мы едем к Изумрудному озеру и Храму Тигра в вашем ритме. Идеально для семей с детьми.;Национальные парки. Трансфер включен (возможна доплата в зависимости от района). Подходит беременным (на машине). Цена за машину (до 4 чел).;краби, индивидуально, беременным нельзя, нельзя детям до 1 года;Ежедневно;Русский;Нет (по меню);Одежда для храма (плечи/колени закрыты), деньги на питание
Суша (обзорные);65;Озеро Чео Лан, 1 день;ХИТ;#можно_всем #озеро #чео_лан #природа #виды;https://goldenkeytours.com/excursions/land-excursions/lake-cheolan-and-samet-nangshe;50%;2600;2400;Тайский Байкал за один день. Изумрудная вода, скалы Гуйлинь и прогулка на лодке посреди древних джунглей.;Место невероятной красоты, но дорога долгая (около 3 часов в одну сторону). Если готовы потерпеть путь ради видов — это того стоит.;Смотровая площадка. Храм Рамы Х (Банг Тонг). Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено (лодка). Детям до 1 года запрещено. Видовая площадка Нангше включена.;чео лан, озеро, можно всем, лодка длиннохвостая;Ежедневно;Русский;Обед;Удобная обувь, купальник
Суша (обзорные);66;Као Сок + Чео Лан, 2 дня (Стандарт);;#можно_всем #ночевка #джунгли #эко_туризм;https://goldenkeytours.com/excursions/land-excursions/khao-sok-and-cheo-lan;50%;4900;4400;Полное погружение в дикую природу. Ночь в плавучем домике (рафте) на озере под звуки ночных джунглей.;Это приключение-перезагрузка. Бунгало простые (бамбуковые), но атмосфера уединения перекрывает отсутствие роскоши.;Стоимость зависит от размещения - бунгало/капсула. Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Катание на бамбуковых плотах или слонах (уточнять).;као сок, чео лан, озеро, можно всем, лодка, 2 дня.;Ежедневно;Русский;Полный пансион;Личные вещи и принадлежности на 2 дня, купальник
Суша (обзорные);67;Као Сок + Чео Лан, 2 дня (Маршрут 2);;#можно_всем #озеро #2_дня;https://goldenkeytours.com/excursions/land-excursions/cheo-lan-standart;50%;5500;5000;Альтернативный маршрут с ночевкой в рафтах. Утренний мистический туман над озером и сафари на лодке.;(Нет обзора);Горячие источники. Храм Рамы Х (Банг Тонг). Плавучие бунгало (вентилятор и туалет в номере, без кондиционера). Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено.;чео лан, 2 дня, можно всем, лодка;Ежедневно;Русский;Полный пансион;Личные вещи и принадлежности на 2 дня, купальник
Суша (обзорные);68;Као Сок + Чео Лан, 2 дня (Делюкс);;#можно_всем #комфорт #делюкс #отель_на_воде;https://goldenkeytours.com/excursions/land-excursions/khao-sok-and-cheo-lan-deluxe;50%;6500;6000;Дикая природа с комфортом. Вы живете посреди джунглей, но в номере есть кондиционер и все удобства.;Для тех, кто хочет увидеть настоящие джунгли, но не готов спать в палатке или с вентилятором. Самый комфортный вариант ночевки на озере.;Посещение пещер, храмов. Стоимость зависит от размещения - бунгало Делюкс/бунгало Новый. Все номера c кондиционером и уборной в номере. Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Отель с кондиционером и душем в номере.;чео лан, делюкс, можно всем, лодка;Ежедневно;Русский;Полный пансион;Личные вещи и принадлежности на 2 дня, купальник
